RESPONSÁVEL;CLIENTE;BANDEIRA;NOME PDV NOVO;NOME PDV ANTIGO;CNPJ;ENDEREÇO;CANAL;STORE TYPE;RESPONSÁVEL;ROTA;CIDADE;UF;CEP;REGIONAL
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S02433 - CLIMA RIO - AV. FRANCISCO BERNARDINO - 447 - JUIZ DE FORA - MG;CLIMA RIO - JUIZ DE FORA/MG;8,82417E+12;Av. Francisco Bernardino, 447;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;Juiz de Fora;MG;36013100;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S02352 - CLIMA RIO - AVENIDA FRANCA - 606 - PORTO ALEGRE - RS;CLIMA RIO - NAVEGANTES/RS;8,82417E+12;AVENIDA FRANÇA, 606 - NAVEGANTES, PORTO ALEGRE - RS;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;PORTO ALEGRE;RS;;SUL
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S04053 - CLIMA RIO - RUA MIGUEL DE FRIAS - 254 - NITEROI - RJ;CLIMA RIO - NITEROI ICARAI/RJ;8,82417E+12;Rua Miguel de Frias, 254;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;NITEROI;RJ;24220005;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S00228 - CLIMA RIO - AVENIDA LOBO JUNIOR - 1184 - RIO DE JANEIRO - RJ;CLIMA RIO - PENHA CIRCULAR/RJ;8,82417E+12;Avenida Lobo Junior, 1184;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;RIO DE JANEIRO;RJ;21010001;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S03677 - CLIMA RIO - AVENIDA LOBO JR - 1408 - RIO DE JANEIRO - RJ;CLIMA RIO - PENHA RIO DE JANEIRO/RJ;8,82417E+12;Avenida Lobo Jr, 1408;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;RIO DE JANEIRO;RJ;21010005;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S00157 - CLIMA RIO - RUA COMENDADOR JOAO BATISTA GLEREAN - SN - PRAIA GRANDE - SP;CLIMA RIO - PRAIA GRANDE/SP;2,34403E+13;Rua Comendador Joao Batista Glerean;ESPECIALIZADO;ESPECIALIZADO;PAULO SERGIO MARQUES DA SILVA;SPC2;PRAIA GRANDE;SP;9720360;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S01119 - CLIMA RIO - RUA ARTUR MOURA - 91 - RECIFE - PE;CLIMA RIO - RECIFE/PE;8,82417E+12;Rua Artur Moura, 91;ESPECIALIZADO;ESPECIALIZADO;LUIZ FALCAO DE SOUZA NETO;NE_2;RECIFE;PE;51150260;NORDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S03162 - CLIMA RIO - AVENIDA DOUTOR FRANCISCO JUNQUEIRA - 851 - RIBEIRAO PRETO - SP;CLIMA RIO - RIBEIRAO PRETO/SP;8,82417E+12;Avenida Doutor Francisco Junqueira, 851;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;RIBEIRAO PRETO;SP;14085310;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S00157 - CLIMA RIO - AVENIDA AYRTON SENNA - 1850 - RIO DE JANEIRO - RJ;CLIMA RIO - RIO DE JANEIRO/RJ;2,75943E+13;Avenida Ayrton Senna ,1850;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;RIO DE JANEIRO;RJ;22775003;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S02603 - CLIMA RIO - AVENIDA VASCO DA GAMA - 2698 - SALVADOR - BA;CLIMA RIO - SALVADOR/BA;8,82417E+12;Avenida Vasco Da Gama, 2698;ESPECIALIZADO;ESPECIALIZADO;TATIANE SOUZA DOS SANTOS;NE_1;SALVADOR;BA;40230731;NORDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S01704 - CLIMA RIO - RUA PARAIBUNA - 667 - SAO JOSE DOS CAMPOS - SP;CLIMA RIO - SAO JOSE DOS CAMPOS/SP;8,82417E+12;Rua Paraibuna, 667;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SAO JOSE DOS CAMPOS;SP;12245020;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S03910 - CLIMA RIO - ROD. GOVERNADOR MARIO COVAS - 1700 - PALHOCA - SC;CLIMA RIO - SAO JOSE/SC;8,82417E+12;Rod. Governador Mário Covas, 1700;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;Palhoça;SC;88132010;SUL
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S05106 - CLIMA RIO - AVENIDA SEN VITORINO FREIRE - 1981 - SAO LUIS - MA;CLIMA RIO - SAO LUIS/MA;8,82417E+12;Avenida Sen Vitorino Freire, 1981;ESPECIALIZADO;ESPECIALIZADO;LUIZ FALCAO DE SOUZA NETO;NE_2;SAO LUIS;MA;65030015;NORDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S02867 - CLIMA RIO - RUA BRIGADEIRO JORDAO - 346 - SAO PAULO - SP;CLIMA RIO - SAO PAULO/SP;8,82417E+12;Rua Brigadeiro Jordao, 346;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SÃO PAULO;SP;4210000;SUDESTE
RODRIGO ALMEIDA;UNIAR;STR;S00102 - UNIAR - AVENIDA. OROSIMBO MAIA - 1935 - CAMPINAS - SP;UNIAR - STR CAMPINAS/SP;2,85354E+13;Avenida. Orosimbo Maia, 1.935 Cambuí;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;CAMPINAS;SP;13024035;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S00813 - CLIMA RIO - RUA AMAZONAS DA SILVA - 205 - SAO PAULO - SP;CLIMA RIO - VILA GUILHERME SAO PAULO/SP;8,82417E+12;Rua Amazonas Da Silva, 205;ESPECIALIZADO;ESPECIALIZADO;PAULO SERGIO MARQUES DA SILVA;SPC2;SÃO PAULO;SP;2051000;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S01461 - CLIMA RIO - AVENIDA LEITAO DA SILVA - 1187 - VITORIA - ES;CLIMA RIO - VITORIA/ES;8,82417E+12;Avenida Leitao Da Silva, 1187;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;VITORIA;ES;29046010;SUDESTE
MANUELA BEZERRA;DIS;UNIS BONSHOP;S01223 - DIS - AVENIDA CRISTIANO MACHADO - 2940 - BELO HORIZONTE - MG;DIS - BELO HORIZONTE/MG;2,3209E+13;AVENIDA Cristiano Machado, 2940 sala 304 União Belo Horizonte-MG;ESPECIALIZADO;ESPECIALIZADO;TATIANE SOUZA DOS SANTOS;NE_1;BELO HORIZONTE;MG;31160372;SUDESTE
MANUELA BEZERRA;DIS;UNIS BONSHOP;S00170 - DIS - ALAMEDA GABRIEL MONTEIRO DA SILVA - 1717 - SAO PAULO - SP;DIS - SAO PAULO/SP;2,3209E+13;Alameda Gabriel Monteiro da Silva, 1717;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SÃO PAULO;SP;1441002;SUDESTE
MANUELA BEZERRA;DUFRIO;DUFRIO;S03640 - DUFRIO - PRACA JACOMO ZANELA - 187 - SAO PAULO - SP;DUFRIO - BARRA FUNDA SAO PAULO/SP;1,75424E+12;Praça Jacomo Zanela, 187;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SÃO PAULO;SP;5038010;SUDESTE
MANUELA BEZERRA;DUFRIO;DUFRIO;S06312 - DUFRIO - RUA ANTONIO ALVES - 611 - BAURU - SP;DUFRIO - BAURU/SP;1,75424E+12;Rua Antonio Alves, 611;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;BAURU;SP;17010170;SUDESTE
MANUELA BEZERRA;DUFRIO;DUFRIO;S04611 - DUFRIO - AVENIDA CRISTIANO MACHADO - 8889 - BELO HORIZONTE - MG;DUFRIO - BELO HORIZONTE/MG;1,75424E+12;Avenida Cristiano Machado, 8889;ESPECIALIZADO;ESPECIALIZADO;TATIANE SOUZA DOS SANTOS;NE_1;BELO HORIZONTE;MG;31741401;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00156 - CENTRAL AR - R. GERSON MENDES - 102 - ITU - SP;CENTRAL AR - ITU/SP;5,86184E+13;R. GERSON MENDES, 102;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;ITU;SP;13303517;SUDESTE
MANUELA BEZERRA;DUFRIO;DUFRIO;S00624 - DUFRIO - RUA CHANCELER OSWALDO ARANHA - 200 - CURITIBA - PR;DUFRIO - CURITIBA/PR;1,75424E+12;Rua Chanceler Oswaldo Aranha, 200;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;CURITIBA;PR;81630160;SUL
MANUELA BEZERRA;DUFRIO;DUFRIO;S06401 - DUFRIO - AVENIDA DEPUTADO FRANCISCO JOSE PINTO DOS SANTOS - 391 - FEIRA DE SANTANA - BA;DUFRIO - FEIRA DE SANTANA/BA;1,75424E+12;Avenida Deputado Francisco Jose Pinto Dos Santos, 391;ESPECIALIZADO;ESPECIALIZADO;TATIANE SOUZA DOS SANTOS;NE_1;FEIRA DE SANTANA;BA;44007095;NORDESTE
