STORE NAME - NOVA;NOMENCLATURA ANTIGA;Viagem;CONSULTOR;CNPJ (CÓDIGO PDV);BANDEIRA;STATE;CITY;BAIRRO;ADDRESS;CEP
07202 - FRIGELAR - AVENIDA INCONFIDENCIA - 31 - CANOAS - RS;FRIGELAR - CANOAS/RS;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;RS;CANOAS;NOSSA SENHORA DAS GRACAS;AVENIDA INCONFIDENCIA, 31;90570240
05420 - FRIGELAR - AVENIDA MAURO RAMOS - 1099 - FLORIANOPOLIS - SC;FRIGELAR - FLORIANOPOLIS/SC;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;SC;FLORIANOPOLIS;CENTRO;AVENIDA MAURO RAMOS, 1099;88015103
03304 - FRIGELAR - RUA ARNOLDO SILVEIRA DE SOUZA - 296 - SAO JOSE - SC;FRIGELAR - SAO JOSE/SC;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;SC;SAO JOSE;DISTRITO INDUSTRIAL;RUA ARNOLDO SILVEIRA DE SOUZA, 296;88104740
03053 - FRIGELAR - AVENIDA PARA - 1269 - PORTO ALEGRE - RS;FRIGELAR - ESCRITORIO POA/RS;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;RS;PORTO ALEGRE;NAVEGANTES;AVENIDA PARA, 1269;90240591
01271 - FRIGELAR - AVENIDA PERNAMBUCO - 2273 - PORTO ALEGRE - RS;FRIGELAR - SAO GERALDO 2273/RS;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;RS;PORTO ALEGRE;SAO GERALDO;AVENIDA PERNAMBUCO, 2273;90240005
04882 - FRIGELAR - RUA HEITOR LIBERATO - 2031 - ITAJAI - SC;FRIGELAR - ITAJAI/SC;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;SC;ITAJAI;SAO JUDAS;RUA HEITOR LIBERATO, 2031;88303101
00119 - FRIGELAR - AVENIDA PERNAMBUCO - 2285 - PORTO ALEGRE - RS;FRIGELAR - SAO GERALDO/RS;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;RS;PORTO ALEGRE;;AVENIDA PERNAMBUCO, 2285;90240005
05854 - FRIGELAR - AVENIDA GENERAL CARNEIRO - 914 - SOROCABA - SP;FRIGELAR - SOROCABA/SP;Viagem;LIEDY AQUINO GOMES DOS SANTOS;9,26604E+13;FRIGELAR;SP;SOROCABA;VILA LUCY;AVENIDA GENERAL CARNEIRO, 914;18043004
04530 - FRIGELAR - AVENIDA DOUTOR PAULO DE MORAES - 1111 - PIRACICABA - SP;FRIGELAR - PIRACICABA/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;PIRACICABA;PAULISTA;AVENIDA DOUTOR PAULO DE MORAES, 1111;13400853
04459 - FRIGELAR - RUA DINAMARCA - 225 - SAO JOSE DOS CAMPOS - SP;FRIGELAR - SAO JOSE DOS CAMPOS/SP;Viagem;LIEDY AQUINO GOMES DOS SANTOS;9,26604E+13;FRIGELAR;SP;SAO JOSE DOS CAMPOS;JARDIM AEROPORTO;RUA DINAMARCA, 225;12231200
04297 - FRIGELAR - RUA ROMUALDO ANDREAZZI - 492 - CAMPINAS - SP;FRIGELAR - CAMPINAS/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;CAMPINAS;JARDIM DO TREVO;RUA ROMUALDO ANDREAZZI, 492;13041030
06664 - FRIGELAR - AVENIDA PROF FRANCISCO MORATO - 3205 - SAO PAULO - SP;FRIGELAR - SAO PAULO/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;SAO PAULO;;AVENIDA PROF FRANCISCO MORATO, 3205;5520000
06079 - FRIGELAR - RUA MARECHAL DEODORO - 2406 - SAO BERNARDO DO CAMPO - SP;FRIGELAR - SAO BERNARDO DO CAMPO/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;SAO BERNARDO DO CAMPO;CENTRO;RUA MARECHAL DEODORO, 2406;9710202
05935 - FRIGELAR - RUA QUIRINO DOS SANTOS - 167 - SAO PAULO - SP;FRIGELAR - QUIRINO SAO PAULO/SP;;LIEDY AQUINO GOMES DOS SANTOS;9,26604E+13;FRIGELAR;SP;SAO PAULO;VARZEA DA BARRA FUNDA;RUA QUIRINO DOS SANTOS, 167;1141020
05005 - FRIGELAR - AVENIDA DOS AUTONOMISTAS - 6230 - OSASCO - SP;FRIGELAR - OSASCO/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;OSASCO;QUITAUNA;AVENIDA DOS AUTONOMISTAS, 6230;6194060
04610 - FRIGELAR - AVENIDA MONTEIRO LOBATO - 393 - GUARULHOS - SP;FRIGELAR - GUARULHOS /SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;GUARULHOS;MACEDO;AVENIDA MONTEIRO LOBATO, 393;2439000
03487 - FRIGELAR - AVENIDA AIRTON PRETINI - 321 - SAO PAULO - SP;FRIGELAR - PENHA SAO PAULO/SP;;LIEDY AQUINO GOMES DOS SANTOS;9,26604E+13;FRIGELAR;SP;SAO PAULO;PENHA;AVENIDA AIRTON PRETINI, 321;3090000
02324 - FRIGELAR - ALAMEDA GLETE - 908 - SAO PAULO - SP;FRIGELAR - ALAMEDA 908 SAO PAULO/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;SAO PAULO;CAMPOS ELISEOS;ALAMEDA GLETE, 908;1215001
01867 - FRIGELAR - ALAMEDA GLETE - 798 - SAO PAULO - SP;FRIGELAR - GLETE 798 - ALAMEDA GLETE SAO PAULO/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;SAO PAULO;CAMPOS ELISEOS;ALAMEDA GLETE, 798;1215000
00461 - FRIGELAR - ALAMEDA GLETE - 771 - SAO PAULO - SP;FRIGELAR - GLETE 771 - ALAMEDA GLETE SAO PAULO/SP;;PAULO SERGIO MARQUES DA SILVA;9,26604E+13;FRIGELAR;SP;SAO PAULO;CAMPOS ELISEOS;ALAMEDA GLETE, 771;1215001
