DATA;DIA DA SEMANA;CONSULTOR;ROTA;REGIONAL;CONSULTOR - ROTA;CLIENTE;FILIAL;CNPJ;CHECK IN ;CHECK OUT
17/04/2026;FRIDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CLIMA RIO;CLIMA RIO - JUIZ DE FORA;08824171002433;09:00;14:00
20/04/2026;MONDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CLIMA RIO;CLIMA RIO - RIO DE JANEIRO/RJ;27594275000157;09:00;12:00
20/04/2026;MONDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;FRIOPEÇAS;FRIOPEÇAS - RAMOS/RJ;09316105000633;14:00;18:00
22/04/2026;WEDNESDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CENTRAL AR;CENTRAL AR - RIO DE JANEIRO/RJ;44128482000135;09:00;12:00
22/04/2026;WEDNESDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;FRIGELAR;FRIGELAR - SÃO CRISTÓVÃO/RJ;92660406000895;14:00;18:00
24/04/2026;FRIDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;FRIGELAR;FRIGELAR - RIO DE JANEIRO/RJ;92660406005188;14:00;18:00
24/04/2026;FRIDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CLIMA RIO;CLIMA RIO - NITERÓI ICARAÍ/RJ;08824171004053;09:00;12:00
27/04/2026;MONDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;FRIGELAR;QNA, 29, LOTE 16 E 17, TAGUATINGA NORTE;92660406008284;09:30;11:30
27/04/2026;MONDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;FRIGELAR;SIA/SUL TRECHO 1, LOTES 1290/1320, SN;92660406003134;13:00;15:00
27/04/2026;MONDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;CLIMA RIO;SIA TRECHO 4 E 4 - BRASILIA;08824171002000;15:30;18:00
28/04/2026;TUESDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;FRIGELAR;AV. BRASIL, 1700, LJ A, CIDADE JARDIM Anápolis;92660406008365;09:00;12:00
28/04/2026;TUESDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;FUJIOKA;Av. Brasil, N°360 LT.07 A 11 QD. SQ1 AnápolIS;01008713009463;13:30;18:00
29/04/2026;WEDNESDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;FRIGELAR;AV. RIO VERDE, 3949-VILA ROSA;92660406008101;09:00;12:00
29/04/2026;WEDNESDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;CENTRAL AR;S00181 - CENTRAL AR - AV. ARAXA - QD 03 LOTE 05 SLA 01 - SN - GOIANIA - GO;59060761000181;13:30;18:00
30/04/2026;THURSDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;FRIGELAR;AV ANHANGUERA, 7150;92660406002162;09:00;11:30
