REDE;CLIENTE;LOJA;CONSULTOR;CNPJ;NOME PDV
COLOMBO;COLOMBO;26133 - COLOMBO - AVENIDA PARANA - 4740 - UMUARAMA - PR;BIBIANO RODRIGUES NETO;8,98E+13;26133 - COLOMBO - AVENIDA PARANA - 4740 - UMUARAMA - PR
COLOMBO;COLOMBO;26052 - COLOMBO - AVENIDA WINSTON CHURCHILL - 2491 - CURITIBA - PR;BIBIANO RODRIGUES NETO;8,98E+13;26052 - COLOMBO - AVENIDA WINSTON CHURCHILL - 2491 - CURITIBA - PR
COLOMBO;COLOMBO;25919 - COLOMBO - RUA QUINZE DE NOVEMBRO - 1356 - SAO JOSE DOS PINHAIS - PR;BIBIANO RODRIGUES NETO;8,98E+13;25919 - COLOMBO - RUA QUINZE DE NOVEMBRO - 1356 - SAO JOSE DOS PINHAIS - PR
COLOMBO;COLOMBO;25595 - COLOMBO - AVENIDA BRASILIA - 1552 - MEDIANEIRA - PR;BIBIANO RODRIGUES NETO;8,98E+13;25595 - COLOMBO - AVENIDA BRASILIA - 1552 - MEDIANEIRA - PR
COLOMBO;COLOMBO;24785 - COLOMBO - AVENIDA INDEPENDENCIA - 1160 - PALOTINA - PR;BIBIANO RODRIGUES NETO;8,98E+13;24785 - COLOMBO - AVENIDA INDEPENDENCIA - 1160 - PALOTINA - PR
COLOMBO;COLOMBO;24513 - COLOMBO - AVENIDA BRASIL - 6576 - CASCAVEL - PR;BIBIANO RODRIGUES NETO;8,98E+13;24513 - COLOMBO - AVENIDA BRASIL - 6576 - CASCAVEL - PR
COLOMBO;COLOMBO;24270 - COLOMBO - RUA VICENTE MACHADO - 1109 - GUARAPUAVA - PR;BIBIANO RODRIGUES NETO;8,98E+13;24270 - COLOMBO - RUA VICENTE MACHADO - 1109 - GUARAPUAVA - PR
COLOMBO;COLOMBO;24009 - COLOMBO - AVENIDA TUPASSI - 1116 - ASSIS CHATEAUBRIAND - PR;BIBIANO RODRIGUES NETO;8,98E+13;24009 - COLOMBO - AVENIDA TUPASSI - 1116 - ASSIS CHATEAUBRIAND - PR
COLOMBO;COLOMBO;23703 - COLOMBO - AVENIDA RIO GRANDE DO SUL - 850 - MARECHAL CANDIDO RONDON - PR;BIBIANO RODRIGUES NETO;8,98E+13;23703 - COLOMBO - AVENIDA RIO GRANDE DO SUL - 850 - MARECHAL CANDIDO RONDON - PR
COLOMBO;COLOMBO;22308 - COLOMBO - RUA 7 DE SETEMBRO - 860 - TOLEDO - PR;BIBIANO RODRIGUES NETO;8,98E+13;22308 - COLOMBO - RUA 7 DE SETEMBRO - 860 - TOLEDO - PR
COLOMBO;COLOMBO;22146 - COLOMBO - AVENIDA TUPI - 2342 - PATO BRANCO - PR;BIBIANO RODRIGUES NETO;8,98E+13;22146 - COLOMBO - AVENIDA TUPI - 2342 - PATO BRANCO - PR
COLOMBO;COLOMBO;21689 - COLOMBO - AVENIDA JULIO ASSIS CAVALHEIRO - 370 - FRANCISCO BELTRAO - PR;BIBIANO RODRIGUES NETO;8,98E+13;21689 - COLOMBO - AVENIDA JULIO ASSIS CAVALHEIRO - 370 - FRANCISCO BELTRAO - PR
COLOMBO;COLOMBO;21255 - COLOMBO - AVENIDA MARECHAL DEODORO - 137 - CURITIBA - PR;BIBIANO RODRIGUES NETO;8,98E+13;21255 - COLOMBO - AVENIDA MARECHAL DEODORO - 137 - CURITIBA - PR
COLOMBO;COLOMBO;20100 - COLOMBO - RUA SANTA CATARINA - 1305 - JOINVILLE - SC;BIBIANO RODRIGUES NETO;8,98E+13;20100 - COLOMBO - RUA SANTA CATARINA - 1305 - JOINVILLE - SC
COLOMBO;COLOMBO;88244 - COLOMBO - RUA SALDANHA MARINHO - 1489 - GUARAPUAVA - PR;BIBIANO RODRIGUES NETO;8,98E+13;88244 - COLOMBO - RUA SALDANHA MARINHO - 1489 - GUARAPUAVA - PR
COLOMBO;COLOMBO;88082 - COLOMBO - RUA DUQUE DE CAXIAS - 412 - INACIO MARTINS - PR;BIBIANO RODRIGUES NETO;8,98E+13;88082 - COLOMBO - RUA DUQUE DE CAXIAS - 412 - INACIO MARTINS - PR
COLOMBO;COLOMBO;87868 - COLOMBO - AVENIDA IGUACU - 811 - NOVA PRATA DO IGUACU - PR;BIBIANO RODRIGUES NETO;8,98E+13;87868 - COLOMBO - AVENIDA IGUACU - 811 - NOVA PRATA DO IGUACU - PR
COLOMBO;COLOMBO;87787 - COLOMBO - AVENIDA PAPAGAIOS - 1687 - CASCAVEL - PR;BIBIANO RODRIGUES NETO;8,98E+13;87787 - COLOMBO - AVENIDA PAPAGAIOS - 1687 - CASCAVEL - PR
COLOMBO;COLOMBO;87604 - COLOMBO - RUA ITAPORA - 305 - MATINHOS - PR;BIBIANO RODRIGUES NETO;8,98E+13;87604 - COLOMBO - RUA ITAPORA - 305 - MATINHOS - PR
COLOMBO;COLOMBO;87515 - COLOMBO - AVENIDA COMENDADOR GENTIL GERALDI - 2897 - CIDADE GAUCHA - PR;BIBIANO RODRIGUES NETO;8,98E+13;87515 - COLOMBO - AVENIDA COMENDADOR GENTIL GERALDI - 2897 - CIDADE GAUCHA - PR
COLOMBO;COLOMBO;87434 - COLOMBO - RUA GERVASIO HITOCHI DOI - 102 - CANDOI - PR;BIBIANO RODRIGUES NETO;8,98E+13;87434 - COLOMBO - RUA GERVASIO HITOCHI DOI - 102 - CANDOI - PR
COLOMBO;COLOMBO;87191 - COLOMBO - RUA BENJAMIN CONSTANT - 1205 - LONDRINA - PR;BIBIANO RODRIGUES NETO;8,98E+13;87191 - COLOMBO - RUA BENJAMIN CONSTANT - 1205 - LONDRINA - PR
COLOMBO;COLOMBO;87000 - COLOMBO - RUA DOUTOR VICENTE MACHADO - 255 - RIO NEGRO - PR;BIBIANO RODRIGUES NETO;8,98E+13;87000 - COLOMBO - RUA DOUTOR VICENTE MACHADO - 255 - RIO NEGRO - PR
COLOMBO;COLOMBO;86977 - COLOMBO - AVENIDA TRIFON HANICZ - 121 - PINHAO - PR;BIBIANO RODRIGUES NETO;8,98E+13;86977 - COLOMBO - AVENIDA TRIFON HANICZ - 121 - PINHAO - PR
COLOMBO;COLOMBO;86896 - COLOMBO - AVENIDA MANOEL RIBAS - 836 - RIO AZUL - PR;BIBIANO RODRIGUES NETO;8,98E+13;86896 - COLOMBO - AVENIDA MANOEL RIBAS - 836 - RIO AZUL - PR
COLOMBO;COLOMBO;86543 - COLOMBO - AVENIDA BRASIL - 695 - MANDIRITUBA - PR;BIBIANO RODRIGUES NETO;8,98E+13;86543 - COLOMBO - AVENIDA BRASIL - 695 - MANDIRITUBA - PR
COLOMBO;COLOMBO;86462 - COLOMBO - AVENIDA XV DE NOVEMBRO - 1130 - AMPERE - PR;BIBIANO RODRIGUES NETO;8,98E+13;86462 - COLOMBO - AVENIDA XV DE NOVEMBRO - 1130 - AMPERE - PR
COLOMBO;COLOMBO;86209 - COLOMBO - RUA PARANA - 813 - JACAREZINHO - PR;BIBIANO RODRIGUES NETO;8,98E+13;86209 - COLOMBO - RUA PARANA - 813 - JACAREZINHO - PR
